"year","Brest","Newlyn"
1960.7917,7257,7277
1960.875,7302,7268
1960.9583,7134,7066
1961.0417,7117,7063
1961.125,7039,7004
1961.2083,6936,6917
1961.2917,7119,7104
1961.375,7033,7039
1961.4583,6950,7000
1961.5417,6988,6999
1961.625,7009,6974
1961.7083,7106,7091
1961.7917,7183,7162
1961.875,7123,7109
1961.9583,7209,7213
1962.0417,7138,7089
1962.125,6916,6856
1962.2083,7074,7055
1962.2917,6986,6944
1962.375,6972,6960
1962.4583,6944,6927
1962.5417,7033,7011
1962.625,7014,7014
1962.7083,7056,7079
1962.7917,7030,7049
1962.875,7101,7085
1962.9583,6985,7024
1963.0417,7002,7049
1963.125,7077,7122
1963.2083,7043,7046
1963.2917,7043,7018
1963.375,6934,6899
1963.4583,7031,7034
1963.5417,6978,6997
1963.625,7006,7027
1963.7083,6980,6994
1963.7917,7008,7049
1963.875,7337,7329
1963.9583,7159,7146
1964.0417,6979,7009
1964.125,7035,7070
1964.2083,7097,7076
1964.2917,6989,6991
1964.375,6979,7012
1964.4583,6994,7034
1964.5417,6911,6963
1964.625,6942,7000
1964.7083,6992,7064
1964.7917,7035,7058
1964.875,7025,7027
1964.9583,7131,7021
1965.0417,7014,7031
1965.125,6901,6884
1965.2083,7052,7015
1965.2917,6961,6909
1965.375,7030,6988
1965.4583,7013,6991
1965.5417,7047,7012
1965.625,7008,6991
1965.7083,7109,7082
1965.7917,7163,7137
1965.875,7241,7204
1965.9583,7189,7119
1966.0417,7229,7162
1966.125,7422,7305
1966.2083,7010,6915
1966.2917,7149,7125
1966.375,7011,6991
1966.4583,7088,7085
1966.5417,7012,7012
1966.625,7061,7076
1966.7083,7100,7095
1966.7917,7248,7222
1966.875,7070,7046
1966.9583,7042,7018
1967.0417,7051,7000
1967.125,7094,7079
1967.2083,6987,6970
1967.2917,6956,6933
1967.375,7142,7128
1967.4583,6974,6973
1967.5417,6999,6994
1967.625,7057,7058
1967.7083,7092,7094
1967.7917,7171,7146
1967.875,7137,7110
1967.9583,6995,6966
1968.0417,6989,6967
1968.125,7164,7104
1968.2083,7021,6963
1968.2917,7074,7055
1968.375,7044,7009
1968.4583,7034,7018
1968.5417,7008,6997
1968.625,7012,7043
1968.7083,7132,7146
1968.7917,7146,7144
1968.875,7268,7274
1968.9583,7229,7213
1969.0417,7212,7201
1969.125,7128,7107
1969.2083,7131,7104
1969.2917,6994,6963
1969.375,7116,7091
1969.4583,7075,7073
1969.5417,6959,6967
1969.625,7002,7037
1969.7083,7053,7070
1969.7917,7082,7101
1969.875,7207,7186
1969.9583,7041,7034
1970.0417,7250,7253
1970.125,7096,7031
1970.2083,6989,6951
1970.2917,6983,6970
1970.375,6971,6973
1970.4583,7032,7043
1970.5417,6962,6988
1970.625,7010,7037
1970.7083,7028,7055
1970.7917,6992,7012
1970.875,7153,7162
1970.9583,6991,7012
1971.0417,7178,7207
1971.125,6955,6957
1971.2083,6995,6967
1971.2917,7044,7027
1971.375,7038,7052
1971.4583,7030,7043
1971.5417,7011,7018
1971.625,7056,7067
1971.7083,6995,7009
1971.7917,7014,7043
1971.875,7001,7003
1971.9583,6949,6976
1972.0417,7099,7095
1972.125,7137,7131
1972.2083,7085,7054
1972.2917,7000,6973
1972.375,7007,7008
1972.4583,7021,7019
1972.5417,6966,6975
1972.625,6949,6980
1972.7083,6983,7013
1972.7917,7078,7105
1972.875,7068,7061
1972.9583,7155,7164
1973.0417,7010,7024
1973.125,6958,6946
1973.2083,6881,6891
1973.2917,6917,6906
1973.375,7050,7056
1973.4583,6952,6941
1973.5417,7026,7037
1973.625,7004,6999
1973.7083,7067,7081
1973.7917,7031,7056
1973.875,7009,7031
1973.9583,7041,7051
1974.0417,7141,7171
1974.125,7124,7072
1974.2083,7023,6978
1974.2917,7011,6979
1974.375,7044,7023
1974.4583,7030,7020
1974.5417,6984,6988
1974.625,7011,7024
1974.7083,7105,7098
1974.7917,6988,6973
1974.875,7115,7103
1974.9583,6987,6999
1975.0417,7074,7092
1975.125,7030,7044
1975.2083,7027,7028
1975.2917,6923,6932
1975.375,6950,6956
1975.4583,6967,6985
1975.5417,6994,7033
1975.625,7015,7024
1975.7083,7046,7078
1975.7917,7008,7065
1975.875,7043,7058
